Volt,Intensity,I
-1.4,80,-0.000109401
-1.35,80,-0.000102771
-1.3,80,-9.96273E-05
-1.25,80,-9.31709E-05
-1.2,80,-9.00149E-05
-1.15,80,-8.3356E-05
-1.1,80,-8.06181E-05
-1.05,80,-7.75311E-05
-1,80,-7.14372E-05
-0.95,80,-6.84006E-05
-0.9,80,-6.17558E-05
-0.85,80,-5.93107E-05
-0.8,80,-5.32363E-05
-0.75,80,-5.03463E-05
-0.7,80,-4.47417E-05
-0.65,80,-4.19581E-05
-0.6,80,-3.65344E-05
-0.55,80,-3.39238E-05
-0.5,80,-2.86285E-05
-0.45,80,-2.62292E-05
-0.4,80,-2.16075E-05
-0.35,80,-1.92659E-05
-0.3,80,-1.50626E-05
-0.25,80,-1.30398E-05
-0.2,80,-1.10509E-05
-0.15,80,-7.54263E-06
-0.1,80,-5.8587E-06
-0.05,80,-2.614E-06
0.05,80,1.56131E-06
0.1,80,2.85247E-06
0.15,80,5.47467E-06
0.2,80,6.78279E-06
0.25,80,9.38087E-06
0.3,80,1.07301E-05
0.35,80,1.34437E-05
0.4,80,1.48778E-05
0.45,80,1.79003E-05
0.5,80,1.93901E-05
0.55,80,2.27208E-05
0.6,80,2.44739E-05
0.65,80,2.63421E-05
0.7,80,3.02813E-05
0.75,80,3.24994E-05
0.8,80,3.70211E-05
0.85,80,3.9675E-05
0.9,80,4.49022E-05
0.95,80,4.83309E-05
1,80,5.48082E-05
1.05,80,5.86773E-05
1.1,80,6.61213E-05
1.15,80,7.0819E-05
1.2,80,8.02021E-05
1.25,80,8.56723E-05
1.3,80,9.60924E-05
1.35,80,0.00010298
1.4,80,0.000116579
1.45,80,0.000123706
1.5,80,0.000132138
1.55,80,0.000149085
1.6,80,0.000157983
1.65,80,0.000176638
1.7,80,0.000189039
1.75,80,0.000209196
1.8,80,0.000218701
1.85,80,0.000243942
1.9,80,0.000259564
1.95,80,0.0002859
2,80,0.000301971
2.05,80,0.000332992
2.1,80,0.000350022
2.15,80,0.0003817
2.2,80,0.000401955
2.25,80,0.000437127
2.3,80,0.00045656
2.35,80,0.000495157
2.4,80,0.000519043
2.45,80,0.000541952
2.5,80,0.000583289
2.55,80,0.000604654
2.6,80,0.000648151
2.65,80,0.000676526
2.7,80,0.000719774
2.75,80,0.000747249
2.8,80,0.000795724
2.85,80,0.000824056
2.9,80,0.000875235
2.95,80,0.000901748
3,80,0.000953655
3.05,80,0.000985708
3.1,80,0.00102944
3.15,80,0.00104615
3.2,80,0.00106189
3.25,80,0.00106638
3.3,80,0.00106976
3.35,80,0.00107453
3.4,80,0.00107665
