,loss,mse,mae,r_square,val_loss,val_mse,val_mae,val_r_square
3084,1.1619960549325015e-09,1.1619960549325015e-09,3.0110275474726222e-05,0.9833897948265076,2.4516961794063263e-09,2.4516961794063263e-09,4.921090658172034e-05,0.945798397064209
3085,9.691979441228682e-10,9.691979441228682e-10,2.6875120965996757e-05,0.9863901138305664,2.337999238655186e-10,2.337999238655186e-10,1.4382974768523127e-05,0.9947757720947266
3086,2.5071142384369693e-10,2.5071142384369693e-10,1.3359636795939878e-05,0.9965859055519104,9.605463091588717e-10,9.605463091588717e-10,3.050354825973045e-05,0.9783660173416138
3087,3.1368799224829047e-10,3.1368799224829047e-10,1.5387115126941353e-05,0.9962707161903381,8.845351118225153e-10,8.845351118225153e-10,2.932756433438044e-05,0.9806808829307556
3088,4.088925309453373e-10,4.088925309453373e-10,1.7617207049624994e-05,0.9941341876983643,1.0068969269472205e-10,1.0068969269472205e-10,8.367492227989715e-06,0.9980132579803467
3089,4.19420387309799e-10,4.19420387309799e-10,1.7308530004811473e-05,0.9949876666069031,2.6239978939690545e-11,2.6239978939690545e-11,4.253967290424043e-06,0.9994286894798279
3090,4.645231699296204e-10,4.645231699296204e-10,1.7915912394528277e-05,0.9947217702865601,1.981757952185248e-10,1.981757952185248e-10,1.3127078091201838e-05,0.9955744743347168
3091,2.5631932132341717e-09,2.5631932132341717e-09,4.341675594332628e-05,0.9684157967567444,8.477091917313828e-09,8.477091917313828e-09,9.180444612866268e-05,0.8113086223602295
3092,1.665297122421805e-09,1.665297122421805e-09,3.151655982946977e-05,0.9784256219863892,3.4101108048467665e-10,3.4101108048467665e-10,1.736986087053083e-05,0.9926101565361023
3093,9.133772627123449e-10,9.133772627123449e-10,2.4181717890314758e-05,0.9894782900810242,5.380023093692898e-09,5.380023093692898e-09,7.313761307159439e-05,0.8809515237808228
3094,1.4057076613838149e-09,1.4057076613838149e-09,3.2861997169675305e-05,0.9812217950820923,2.2433523927389842e-09,2.2433523927389842e-09,4.704434104496613e-05,0.9511493444442749
3095,1.499191770726327e-09,1.499191770726327e-09,3.296482827863656e-05,0.9818813800811768,1.0368698122320552e-09,1.0368698122320552e-09,3.1644809496356174e-05,0.9765092134475708
3096,6.100432381472842e-10,6.100432381472842e-10,2.1252808437566273e-05,0.991469144821167,9.974550352342959e-11,9.974550352342959e-11,8.394744327233639e-06,0.9977635741233826
3097,3.270574644442803e-10,3.270574644442803e-10,1.2835937923227903e-05,0.9954195022583008,4.180236018447303e-11,4.180236018447303e-11,5.289084128889954e-06,0.9991222023963928
3098,4.2342104822346016e-10,4.2342104822346016e-10,1.6300517017953098e-05,0.9945987462997437,2.4267435283498173e-10,2.4267435283498173e-10,1.4678485968033783e-05,0.9948163032531738
